"transaction_month","monthly_transaction_amount"
"2024-05-01 00:00:00-04",147805.30
"2024-06-01 00:00:00-04",536107.83
"2024-07-01 00:00:00-04",549318.71
"2024-08-01 00:00:00-04",516419.08
"2024-09-01 00:00:00-04",475005.06
"2024-10-01 00:00:00-04",478653.46
"2024-11-01 00:00:00-04",503820.81
"2024-12-01 00:00:00-05",479737.03
"2025-01-01 00:00:00-05",588809.16
"2025-02-01 00:00:00-05",507614.95
"2025-03-01 00:00:00-05",491637.39
"2025-04-01 00:00:00-04",523283.16
"2025-05-01 00:00:00-04",544424.61
"2025-06-01 00:00:00-04",521252.96
"2025-07-01 00:00:00-04",559803.67
"2025-08-01 00:00:00-04",498018.87
"2025-09-01 00:00:00-04",450868.75
"2025-10-01 00:00:00-04",560788.15
"2025-11-01 00:00:00-04",505126.98
"2025-12-01 00:00:00-05",564786.82
"2026-01-01 00:00:00-05",467086.44
"2026-02-01 00:00:00-05",471064.34
"2026-03-01 00:00:00-05",536304.64
"2026-04-01 00:00:00-04",475301.38
"2026-05-01 00:00:00-04",388823.65
